article_id,full_name,sex,birth_year,death_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index
23909513,Isabella of Castile,Female,1451,1504,Madrigal de las Altas Torres,,Spain,Europe,41.08333,-5,Politician,Government,Institutions,66,7649221,115897,25.8436
30273,T. S. Eliot,Male,1888,1965,St. Louis,MO,United States,North America,38.62722,-90.19778,Writer,Language,Humanities,78,8571820,109895,25.8113
3078531,Miltiades the Younger,Male,-550,-489,Athens,,Greece,Europe,37.96667,23.71667,Military Personnel,Military,Institutions,33,644382,19527,25.802
16736,Kurt Gödel,Male,1906,1978,Brno,,Czech Republic,Europe,49.2,16.61667,Mathematician,Math,Science & Technology,72,3336679,46343,25.8016
33971,William Herschel,Male,1738,1822,Hanover,,Germany,Europe,52.36667,9.71667,Astronomer,Natural Sciences,Science & Technology,69,2164443,31369,25.7789
19179497,Mithridates VI of Pontus,Male,-132,-63,Sinop,,Turkey,Asia,42.03333,35.15,Politician,Government,Institutions,43,1129422,26266,25.7764
32817,Vladimir Putin,Male,1952,2020,Saint Petersburg,,Russia,Europe,59.95,30.3,Politician,Government,Institutions,131,23717139,181047,25.7648
6260,Claude Debussy,Male,1862,1918,Saint-Germain-en-Laye,,France,Europe,48.8989,2.0938,Composer,Music,Arts,67,12470303,186124,25.7622
61410,Louis Braille,Male,1809,1852,Coupvray,,France,Europe,48.8925,2.7939,Inventor,Invention,Science & Technology,59,3143056,53272,25.7614
447030,Appian,Male,95,165,Alexandria,,Egypt,Africa,31.2,29.91667,Writer,Language,Humanities,41,632335,15423,25.761
13010,Gavrilo Princip,Male,1894,1918,Obljaj,,Bosnia And Herzegovina,Europe,,,Extremist,Outlaws,Public Figure,64,3951171,61737,25.7103
9911,Ezekiel,Male,-622,-569,Jerusalem,,Israel,Asia,31.78333,35.21667,Religious Figure,Religion,Institutions,37,2630881,71105,25.709
157272,Alexandre Dumas,Male,1802,1870,Villers-Cotterêts,,France,Europe,49.26,3.0906,Writer,Language,Humanities,78,6923202,88759,25.7085
25867,Richard Dawkins,Male,1941,2020,Nairobi,,Kenya,Africa,-1.28333,36.81667,Biologist,Natural Sciences,Science & Technology,68,11313799,166379,25.708
13765,Henry Kissinger,Male,1923,2020,Fürth,,Germany,Europe,49.46667,11,Politician,Government,Institutions,64,10487989,163875,25.7079
54533,Lyndon B. Johnson,Male,1908,1973,Stonewall,TX,United States,North America,30.24,-98.66,Politician,Government,Institutions,94,15582877,165775,25.7071
12216,Georg Cantor,Male,1845,1918,Saint Petersburg,,Russia,Europe,59.95,30.3,Mathematician,Math,Science & Technology,63,2739307,43481,25.7066
26202,Ralph Waldo Emerson,Male,1803,1882,Boston,MA,United States,North America,42.35806,-71.06361,Writer,Language,Humanities,66,8427739,127693,25.6931
5771,Christopher Marlowe,Male,1564,1593,Canterbury,,United Kingdom,Europe,51.275,1.087,Writer,Language,Humanities,54,3873400,71730,25.6912
33642554,Scipio Africanus,Male,-236,-183,Rome,,Italy,Europe,41.9,12.5,Politician,Government,Institutions,48,3872247,80672,25.673
69418,Tiberius Gracchus,Male,-168,-133,Rome,,Italy,Europe,41.9,12.5,Politician,Government,Institutions,32,1206237,37695,25.6625
34226,Yuri Gagarin,Male,1934,1968,Klushino,,Russia,Europe,55.67083,35.05333,Astronaut,Explorers,Exploration,119,15173213,127506,25.6597
20238168,"Tenzin Gyatso, 14th Dalai Lama",Male,1935,2020,Taktser,,China,Asia,36.37808,101.86589,Religious Figure,Religion,Institutions,76,8165642,107443,25.6513
40501,Canute the Great,Male,990,1035,Other,,Denmark,Europe,55.72,12.57,Politician,Government,Institutions,54,2319498,42954,25.6232
204310,Xuanzang,Male,602,664,Henan,,China,Asia,33.9,113.5,Explorer,Explorers,Exploration,35,1593729,45535,25.622
33783,Wernher von Braun,Male,1912,1977,Wyrzysk,,Poland,Europe,53.15611,17.26639,Engineer,Engineering,Science & Technology,57,6520009,114386,25.6199
27681,Sergei Prokofiev,Male,1891,1953,Krásné,,Ukraine,Europe,48.14,37.74,Composer,Music,Arts,51,4634543,90873,25.6189
102338,Henry Cavendish,Male,1731,1810,Nice,,France,Europe,43.7034,7.2663,Physicist,Natural Sciences,Science & Technology,55,1900294,34551,25.6148
10410626,John Adams,Male,1735,1826,Boston,MA,United States,North America,42.206,-71.005,Politician,Government,Institutions,104,15321190,147319,25.6142
64740,Jacob Bernoulli,Male,1654,1705,Basel,,Switzerland,Europe,47.56667,7.6,Mathematician,Math,Science & Technology,51,1058620,20757,25.547
20127,M. C. Escher,Male,1898,1972,Leeuwarden,,Netherlands,Europe,53.2,5.78333,Artist,Fine Arts,Arts,52,9460545,181934,25.5468
70369,Cyrano de Bergerac,Male,1619,1655,Paris,,France,Europe,48.8567,2.3508,Writer,Language,Humanities,36,3324774,92355,25.5385
16224,Jonah,Male,-800,-700,Gath-Helper,,Israel,Asia,,,Religious Figure,Religion,Institutions,31,2688127,86714,25.5275
15781,Jorge Luis Borges,Male,1899,1986,Buenos Aires,,Argentina,South America,-34.60333,-58.38167,Writer,Language,Humanities,101,18357830,181761,25.5258
14995351,Michael Jackson,Male,1958,2009,Gary,IN,United States,North America,41.59556,-87.34528,Musician,Music,Arts,147,145250649,988100,25.5247
33925,William Wordsworth,Male,1770,1850,Cockermouth,,United Kingdom,Europe,54.6613,-3.362,Writer,Language,Humanities,67,6732890,100491,25.5146
170987,Chrétien de Troyes,Male,1100,1191,Troyes,,France,Europe,48.2997,4.0792,Writer,Language,Humanities,34,1729542,50869,25.5111
43282,Leonard Bernstein,Male,1918,1990,Lawrence,MA,United States,North America,42.70694,-71.16361,Composer,Music,Arts,48,4973004,103604,25.5031
157994,Isabel Allende,Female,1942,2020,Lima,,Peru,South America,-12.04333,-77.02833,Writer,Language,Humanities,54,5397967,99962,25.5017
